row,exposure,target,prediction
78426,1,1576.9,1202.56
78577,1,709.195,1118.1
78596,2,7364.56,2361.36
78651,1,621.508,1107.56
78717,1,2049.33,1503.16
78848,2,1467.61,1878.94
78871,1,1034.24,927.153
78881,1,1870.84,1127.23
79131,1,1034.02,1001.68
79177,1,316.201,846.058
79225,1,1165.58,1064.87
79290,1,1165.58,1536.16
79386,1,2017.95,879.58
79431,1,469.529,1246.66
79432,1,957.248,927.153
79450,1,1496.97,1180.94
79465,1,1016.72,1099.75
79672,1,589.681,959.3
79736,1,1165.58,1063.66
80131,1,113.665,1138.29
80339,2,724.142,2363.18
80377,1,210.052,934.194
80597,1,774.15,1079.76
81088,1,1165.58,1079.99
81090,1,1078.42,919.854
81113,1,1446.74,1637.04
81116,1,1093.41,1514.64
81202,1,1009.14,1015.27
81388,2,2514.68,2030.55
81389,1,810.277,1036.79
81971,1,751.443,876.493
82114,1,1473.17,1027.96
82128,1,1192.19,1473.84
82264,2,2406.16,2189.47
82280,1,1192.19,947.914
82348,1,993.188,1035.49
82467,1,1093.41,1072.51
82862,1,294.177,1503.16
82944,1,1193.87,1086.24
82984,1,51.4305,1048.09
83218,1,1165.58,1161.37
83275,1,1165.58,1471.97
83277,1,247.309,1317.65
83558,1,2600.33,1009.38
83602,1,434.309,1234.53
83672,2,6560.09,3006.32
83797,1,1165.58,1009.83
83883,1,10322,1397.05
84058,1,367.412,978.693
84275,1,1316.02,1237.88
84323,1,328.24,1135.41
84487,1,1192.19,1293.37
84851,1,992.948,1089
84971,1,441.913,1125.67
85309,1,571.023,981.722
85750,1,197.093,965.707
85897,1,1165.58,931.065
85908,1,1192.19,953.891
85963,1,1509.39,1134.88
86044,1,628.996,1085.12
86059,1,986.051,1090.79
86083,1,2210.64,1149.86
86221,1,1078.42,1302.5
86418,1,678.837,853.108
86427,1,1165.58,1285.05
86439,1,814.19,1291.57
86454,1,894.521,864.906
86505,1,315.66,1254.4
86615,1,435.611,998.268
86685,1,1754.27,992.771
86706,1,724.202,997.054
86763,1,1112.2,1061.35
86971,1,1034.43,1158.72
87063,1,1078.42,889.05
87370,1,454.344,1374.54
87449,1,2048.99,840.081
88125,1,790.118,1037.63
88223,1,1168.34,1208.82
88444,1,424.616,884.539
88527,1,1597.94,1372.81
88528,1,1093.41,1391.35
88612,1,947.45,1158.72
88650,1,1443.49,944.27
88742,1,604.463,1596.36
88799,1,1168.45,1260.04
88865,1,1556.82,979.243
88881,1,946.112,786.41
89125,1,925.749,924.891
89133,1,1165.58,1404.25
89344,1,1735.32,823.137
89428,1,1248.96,1433.14
89608,1,273.567,944.031
89634,1,495.785,1125.67
89680,1,1472.32,960.134
89753,1,1335.38,1335.73
89863,1,1182.94,982.425
89999,1,1034.24,1170.41
90049,1,303.81,1060.18
90177,1,1611.4,1246.96
90264,1,4475,1599.72
90427,1,1210.88,900.919
90540,1,1468.8,819.79
90836,1,325.298,946.984
90890,1,1503.32,1154.64
90971,1,1296.61,1270.36
91151,1,1165.58,1434.25
91186,1,1093.41,1393.1
91187,1,1070.86,1444.18
91408,1,672.905,1095.59
91566,1,62.1281,875.677
91615,1,1034.24,877.61
92029,1,1165.58,1390.82
92310,1,828.464,902.215
92376,1,1165.58,962.05
92548,1,1192.19,1503.16
92709,1,914.323,1001.31
92863,2,1314.58,2637.87
93190,1,1192.19,1284.94
93337,1,1165.58,1263.89
93385,1,461.662,1036.79
93391,1,378.631,905.138
93521,1,1034.24,847.874
93611,1,1165.58,1282.89
93707,1,1718.57,870.606
94222,1,220.891,1116.49
94331,1,415.966,1093.07
94851,1,1472.96,1230.26
94903,1,757.037,1027.96
94930,1,1192.19,1063.95
94962,1,1078.42,1108.73
95034,1,238.948,853.756
95160,1,1165.58,1095.95
95609,1,1165.58,1330.29
95699,1,1192.19,913.457
95739,1,987.351,1382.54
96063,1,571.824,1054.59
96237,1,554.814,829.378
96277,1,1192.19,948.878
96294,1,1165.58,1570.18
96479,1,973.569,1245.88
96695,1,997.749,1260.5
96711,1,552.089,1381.2
96912,1,808.59,1069.29
96955,1,1034.24,868.458
97025,1,2112.73,847.297
97151,1,1134.8,1158.72
97167,1,599.423,1000.73
97379,2,3972.96,2527.18
97440,1,676.858,1031.72
97527,1,508.696,1469.61
97678,1,218.826,1205.49
97848,1,595.58,1330.16
97885,1,1491.53,1173.97
98139,1,1164.39,1245.88
98168,1,380.966,1494.46
98373,1,316.473,1195.35
98634,1,1181.82,823.137
98789,1,1041.53,1134.88
98885,1,1192.19,1116.49
98936,1,244.717,1305.96
99100,1,633.349,978.568
99337,1,732.37,1108.59
99403,1,928.956,993.595
99773,1,258.043,998.607
99791,1,1902.07,1275.22
99970,1,734.804,945.567
100061,1,259.773,1066.58
100073,1,1192.19,1137.94
100137,1,424.368,1071.65
100421,1,1396.16,991.218
100685,1,435.495,918.641
100728,1,642.705,1039.58
100979,1,1114.75,891.434
100993,1,1259.25,844.223
101138,1,1508.74,1169.44
101140,1,314.813,927.153
101251,1,2163.31,1064.51
101434,1,980.965,1443.25
101667,1,483.241,1076.16
101680,1,800.729,953.891
101794,1,1192.19,1138.44
102034,1,1317.93,875.998
102180,1,550.503,1157.34
102356,1,707.039,848.167
102634,1,1093.41,827.172
102680,1,2529.65,1164.65
102723,1,669.285,1221.08
102896,1,273.567,902.294
102972,1,693.605,1016.14
102983,2,1818.46,2708.5
103191,1,1064.32,922.831
103282,1,396.015,1123.69
103327,1,1165.58,1134.51
103356,1,1036.21,910.517
103759,2,2675.41,2293.32
104105,1,573.363,1645.31
104108,1,10322,1765.31
104215,1,605.452,1228.12
104433,1,1340.31,1087.44
104467,1,1156.92,1284.94
104471,1,447.157,1006.13
104744,2,2156.84,1880.87
104879,1,1259.25,875.873
104927,3,2668.9,3111.34
104960,1,1038.75,881.085
104992,1,1192.19,1036.79
105138,1,1192.19,1221.75
105340,1,1034.62,1662.91
105526,1,293.082,995.218
105674,1,416.699,1285.36
105735,1,645.125,1001.31
105822,1,1795.68,1185.46
105858,1,1034.95,1374.54
105861,1,1192.19,1474.79
105933,1,715.523,972.619
106125,1,600.873,871.714
106228,1,1034.24,953.477
106380,1,479.332,1354.57
107032,1,1078.42,925.642
107594,1,193.217,840.108
107834,1,1093.41,1318.38
108144,1,724.466,891.554
108203,1,1093.41,1094.73
108212,1,210.052,1353.85
108214,1,1034.24,978.702
108237,1,1219.62,1000.88
108304,1,929.056,1134.26
108533,1,539.572,986.554
108563,1,1165.58,1096.66
108701,2,1896.66,1830.49
108838,1,914.173,995.282
109122,1,375.688,888.548
109155,1,1692.15,1324.86
109156,1,1165.58,1373.45
109190,1,976.439,914.452
109303,1,1078.42,1108.73
109329,1,2542.14,1100.66
109476,1,1192.19,1023.01
109963,1,716.89,805.853
109977,1,800.877,771.261
110025,1,1093.41,1245.88
110027,1,1192.19,1318.94
110332,1,1257.58,962.36
110533,1,1078.42,1374.54
110677,1,1165.58,1221.08
110821,1,267.333,1439.34
111086,1,681.043,974.906
111099,1,1044.1,1164.9
111203,1,1921.45,1181.06
111216,1,1420.51,991.171
111254,1,1192.19,1123.62
111521,1,1137.18,1205.46
111718,1,246.696,1061.8
111766,1,1078.42,1288.56
111930,1,364.894,1002.19
112003,1,644.03,976.615
112015,1,1593.65,950.02
112033,1,1192.39,1211.92
112055,1,210.052,970.117
112256,1,384.011,980.195
112284,1,1273.32,1356.17
112400,1,213.66,963.896
112892,1,211.13,967.137
112910,1,210.052,911.655
113061,1,211.13,1104.43
113134,1,1817,1092.73
113157,2,2137.7,2112.5
113553,1,1034.24,1093.07
114160,1,1692.4,1265.07
114188,1,1034.95,1013.52
114223,1,1165.58,1368.06
114278,1,1078.42,1177.91
114451,1,1100.15,951.663
114766,1,1227.29,1157.05
114798,1,1164.3,1124.35
114889,1,303.543,954.118
115136,1,1402.11,1122.97
115161,1,1696.55,1266.63
115290,1,309.652,927.153
115291,1,1102.22,940.435
115532,2,6783.49,2522.99
115573,1,211.13,838.067
115958,1,1655.92,994.689
116011,1,611.45,864.376
116412,1,268.053,1022.48
116597,1,531.165,826.256
116739,1,619.32,1086.79
117544,1,1472.68,1223.94
117631,1,2973.48,1156.43
117668,1,1093.41,931.031
117730,1,5175.08,1036.79
117969,1,246.815,1459.04
117972,2,4348.83,3130.9
118014,1,691.556,804.625
118078,1,1093.41,921.889
118121,1,212.293,1053.34
118176,1,877.37,1198.53
118183,1,134.186,1373.1
118225,1,1723.4,931.065
118259,1,1034.24,872.449
119205,1,206.435,862.088
119269,1,754.531,1337.77
119564,1,183.484,1149.52
119637,1,543.03,1585.78
119904,1,267.333,1056.25
120006,1,740.795,1016.14
120255,1,1093.41,1237.52
120265,1,1689.22,1016.14
120718,1,709.442,898.859
121139,1,1210.67,1000.73
121222,1,1687.65,1132.32
122397,1,3733.65,947.209
122499,1,556.175,868.946
122554,1,1544.5,1499.8
122870,1,2402.88,1130.09
122903,1,1034.24,1128.99
123062,1,220.891,1434.01
123307,1,1165.58,937.794
123383,1,110.175,1471.97
123483,1,247.12,1164.9
123571,1,967.24,1002.81
123870,1,2680.4,1101.94
124049,1,673.143,905.389
124079,1,1090.68,1086.77
124107,1,814.87,1434.01
124131,1,523.181,906.194
124359,2,1381.25,3598.58
124469,1,1759.14,1050.2
124472,1,789.705,1162.05
124589,1,362.233,841.478
124676,1,1192.19,1150.54
124786,1,1025.95,1093.07
125000,1,682.966,1187.25
125034,1,1093.41,1366.1
